state_slug,initials,name,firm,location,tags,price
illinois,GT,Garrett Taylor,Count on Sheep,"Chicago, IL",DeFi|NFTs|Staking,Contact for quote
illinois,TC,Taxing Cryptocurrency,Taxing Cryptocurrency,"Chicago, IL",DeFi|Tax Planning,Contact for quote
